Email,ScheduleTables,,Session
4501901179,1d -> 2b -> 5c -> 6a,,1
5236795249,3b -> 5d -> 5d -> 10c,,1
4274417929,6b -> 4a -> 6a -> 6b,,1
5235359389,6c -> 6a -> 6b -> 6c,,1
4504556809,2c -> 4d -> 6c -> 6d,,1
4495381619,6d -> 6b -> 6d -> 7a,,1
5253011769,2a -> 6c -> 2d -> 2b,,1
4852666459,5b -> 6d -> 7a -> 1a,,1
5085216029,7a -> 7a -> 7b -> 7a,,1
5278479329,7b -> 5d -> 3b -> 10d,,1
5245361199,6d -> 10c -> 7c -> 3c,,1
4493047419,4c -> 7b -> 7d -> 7b,,1
5262150789,7c -> 3b -> 10d -> 10b,,1
4271346479,2d -> 6d -> 1a -> 5b,,1
4741747989,5a -> 1a -> 3d -> 10c,,1
4258301829,7d -> 5a -> 5b -> 5c,,1
4585163109,8a -> 3a -> 8a -> 2c,,1
4279515889,2b -> 7c -> 10c -> 6d,,1
5038299989,8b -> 7d -> 4a -> 7c,,1
4260278769,5c -> 5c -> 8b -> 7d,,1
4637554299,7a -> 6a -> 8a,,1
4988448679,7c -> 3d -> 8c -> 8b,,1
4695312649,3d -> 8a -> 8c -> 8c,,1
4246101209,6b -> 10d -> 3a -> 8c,,1
5290372109,3c -> 8b -> 7a -> 10a,,1
5225760239,8a -> 8c -> 6c -> 8d,,1
5288842359,1a -> 5b -> 2c -> 5a,,1
5291149179,8c -> 8b -> 7d -> 4a,,1
5244691309,10d -> 8d -> 8d -> 6c,,1
4671098279,8d -> 7a -> 6d -> 8b,,1
5257857869,4a -> 2d -> 5d -> 2d,,1
4635047499,9a -> 8c -> 2b -> 9a,,1
5233111119,9a -> 9a -> 9a -> 10d,,1
5279924099,9b -> 9b -> 9b,,1
4613182309,9c -> 9a -> 9c -> 9a,,1
5213095399,4b -> 8d -> 8a -> 10a,,1
5183314219,9c -> 7c -> 6a -> 9b,,1
5277366429,10d -> 9c -> 4b -> 9b,,1
4634621839,4d -> 9c -> 9a -> 8d,,1
5291565699,9d -> 1c -> 9c -> 4d,,1
4568261709,6c -> 9b -> 9d -> 4b,,1
4612417859,10a -> 7d -> 10a -> 9c,,1
5257422119,9d -> 4b -> 4c -> 9d,,1
5182346609,10a -> 9d -> 9b -> 5d,,1
5235645459,6a -> 10d -> 10a -> 6a,,1
4604448739,5d -> 10a -> 5a -> 7d,,1
4816980429,10b -> 8a -> 10b -> 6b,,1
4535025609,9b -> 6c -> 5c -> 1d,,1
5250728849,10b -> 10b -> 8d -> 9d,,1
4806854809,1d -> 10b -> 2a,,1
4656613239,8b -> 9d -> 9d -> 9c,,1
5251190649,8d -> 6b -> 6b -> 8a,,1
4840025159,8c -> 7b -> 7c -> 4c,,1
5225189659,7b -> 10b -> 7b -> 7c,,1
4645975219,7d -> 10a -> 8b -> 7b,,1
